,ID,teff,teff_err,numax,numax_err,dnu,dnu_err,bp_rp,bp_rp_err,lg_numax,lg_teff,rank
12838,KIC10402509,5014,175,56.93,0.6,6.318,0.018000000000000002,1.1771488189697266,0.05,1.7553411838115476,3.7001843296221977,4.993470456727283
2805,KIC4757271,4678,100,32.29,0.89,3.8110000000000004,0.037000000000000005,1.4066638946533203,0.05,1.5090680450171616,3.6700602174731336,4.992793247773238
291,KIC2306481,4921,80,36.59,0.51,4.2,0.051,1.3103046417236328,0.05,1.5633624094866074,3.6920533650340808,4.992695513501177
5057,KIC6044054,4954,100,72.4,0.45,7.263,0.013999999999999999,1.205219268798828,0.05,1.8597385661971468,3.6949560022498185,4.992693220046172
3721,KIC5288716,4940,100,36.02,0.62,4.231,0.057,1.2930660247802734,0.05,1.5565437084835143,3.6937269489236466,4.99250522638734
2854,KIC4816074,5035,149,37.21,1.72,4.262,0.523,1.2003412246704102,0.05,1.5706596700215343,3.7019994748896368,4.992413478565746
13913,KIC11027337,4658,100,33.65,0.36,3.884,0.011000000000000001,1.3966970443725586,0.05,1.5269850685599955,3.668199484198662,4.992041455009655
1885,KIC4056266,4982,80,88.32,1.09,7.445,0.039,1.2476806640625,0.05,1.946059060385124,3.697403723200488,4.991757332679881
8084,KIC7837954,4998,80,107.49,1.29,8.48,0.013000000000000001,1.1686983108520508,0.05,2.031368062885773,3.698796251790432,4.990623659077434
15417,KIC11924919,4976,100,114.12,1.22,9.327,0.011000000000000001,1.2111635208129885,0.05,2.057361762985039,3.696880371682762,4.989702118892619
14877,KIC11567563,4930,100,42.02,0.62,4.396,0.013000000000000001,1.318821907043457,0.05,1.6234560480699338,3.6928469192772297,4.989629977314947
12499,KIC10221370,4953,100,44.71,0.61,4.482,0.034,1.2975215911865234,0.05,1.6504046698680317,3.694868327982456,4.988725018538374
5943,KIC6593633,4763,141,30.84,0.41,3.6660000000000004,0.013999999999999999,1.3961801528930664,0.05,1.4891143693789193,3.6778805815115914,4.988287330781787
11988,KIC9966247,4863,80,28.01,0.72,3.8480000000000003,0.063,1.261587142944336,0.05,1.4473131088235682,3.686904269568177,4.9881176841536
7170,KIC7296975,4833,148,47.3,1.08,4.9719999999999995,0.023,1.383824348449707,0.05,1.6748611407378116,3.6842167951388807,4.987499727397373
8991,KIC8301905,4951,80,139.04,0.81,11.819,0.022000000000000002,1.2297563552856443,0.05,2.1431397591045918,3.694692926331484,4.987282120943067
13844,KIC10979742,4802,100,71.94,0.88,6.754,0.008,1.372772216796875,0.05,1.8569704334824924,3.681422155721009,4.984943431121272
5636,KIC6423690,5050,100,34.16,0.77,4.064,0.055,1.197535514831543,0.05,1.5335178620169674,3.703291378118661,4.983168439153111
3302,KIC5083936,5000,100,34.4,0.85,4.175,0.065,1.233234405517578,0.05,1.5365584425715302,3.6989700043360183,4.983164853193251
15912,KIC12365783,5138,179,118.61,0.75,10.632,0.013999999999999999,1.1254682540893557,0.05,2.074121305906298,3.710794099930328,4.982354452618459
9468,KIC8555914,4737,80,36.09,0.66,4.225,0.028999999999999998,1.243891716003418,0.05,1.5573868820595071,3.675503384727957,4.98216536147774
13719,KIC10922608,4711,80,48.78,0.55,5.211,0.018000000000000002,1.2764482498168943,0.05,1.6882417959777118,3.6731131042382343,4.981342119376698
5667,KIC6435786,4987,100,142.9,0.81,11.819,0.016,1.2445783615112305,0.05,2.1550322287909704,3.6978393682183635,4.980934377254749
14302,KIC11234675,4951,150,69.68,0.51,6.95,0.022000000000000002,1.2936334609985352,0.05,1.8431081419996067,3.694692926331484,4.980645308973852
16002,KIC12507291,4846,80,27.81,0.7,3.8510000000000004,0.023,1.2690343856811523,0.05,1.4442009888641594,3.6853834098014873,4.980615400822038
2970,KIC4851908,4832,100,35.1,1.51,4.24,0.099,1.384294509887695,0.05,1.5453071164658239,3.684126925613076,4.980280881114098
