KICID|Teff|Teff_err|logg|logg_err|FeH|FeH_err|M_noCorrection|err|R_noCorrection|err|M_RGB|err|R_RGB|err|M_Clump|err|R_Clump|err|EvoPhase|
1870495|4937|80|3.169|0.007|-0.37|0.15|1.09|0.05|4.49|0.08|1.02|0.05|4.35|0.08|1.10|0.06|4.52|0.08|1|
1870714|5106|154|2.900|0.011|-0.01|0.30|2.50|0.22|9.30|0.32|2.58|0.23|9.44|0.33|2.62|0.23|9.52|0.33|0|
1871314|4585|80|2.662|0.007|0.34|0.15|1.49|0.08|9.44|0.18|1.36|0.07|9.02|0.17|1.51|0.08|9.48|0.18|1|
1871465|4780|146|2.433|0.012|0.28|0.30|1.19|0.11|11.00|0.38|1.15|0.11|10.80|0.37|1.20|0.11|11.00|0.38|2|
1871571|4845|143|3.171|0.008|-0.09|0.30|1.24|0.08|4.80|0.11|1.16|0.07|4.64|0.10|1.25|0.08|4.82|0.11|1|
1871631|4778|80|2.331|0.018|-0.31|0.15|0.90|0.16|10.71|0.80|0.81|0.14|10.18|0.74|0.89|0.16|10.69|0.79|2|
1871927|4674|80|2.721|0.007|0.21|0.15|1.38|0.07|8.49|0.16|1.27|0.07|8.15|0.16|1.40|0.07|8.54|0.16|1|
1872166|4975|80|2.806|0.007|0.15|0.15|2.07|0.13|9.42|0.24|2.03|0.13|9.33|0.23|2.12|0.13|9.53|0.24|2|
1872210|5204|166|2.784|0.011|0.19|0.30|2.41|0.20|10.42|0.32|2.57|0.22|10.77|0.33|2.48|0.21|10.57|0.32|2|
1872375|5044|80|2.930|0.008|-0.19|0.15|1.94|0.11|7.91|0.17|1.87|0.11|7.76|0.16|2.00|0.12|8.03|0.17|1|
1872421|4795|157|2.400|0.014|0.30|0.30|1.04|0.11|10.63|0.41|1.03|0.11|10.60|0.41|1.03|0.11|10.62|0.41|2|
1872469|4657|80|2.656|0.007|0.17|0.15|1.42|0.08|9.27|0.19|1.30|0.07|8.87|0.18|1.44|0.08|9.33|0.19|1|
1872517|4543|80|2.304|0.009|-0.29|0.15|1.14|0.08|12.45|0.31|0.98|0.07|11.55|0.28|1.11|0.08|12.28|0.30|1|
1872842|4768|138|2.527|0.011|-0.25|0.30|1.53|0.13|11.15|0.35|1.36|0.12|10.54|0.33|1.52|0.13|11.15|0.35|2|
1872869|4810|146|2.401|0.012|-0.12|0.30|1.14|0.11|11.15|0.38|1.06|0.10|10.74|0.37|1.15|0.11|11.17|0.38|2|
1873198|4857|80|2.474|0.009|-0.37|0.15|1.38|0.09|11.27|0.27|1.25|0.08|10.72|0.25|1.39|0.09|11.31|0.27|1|
1873204|4743|166|2.382|0.011|-0.16|0.30|1.19|0.10|11.64|0.33|1.07|0.09|11.04|0.31|1.19|0.10|11.63|0.33|1|
1873510|4971|80|2.398|0.010|-0.56|0.15|1.18|0.11|11.36|0.41|1.09|0.10|10.92|0.39|1.20|0.11|11.49|0.42|2|
1873898|4817|160|2.389|0.015|0.32|0.30|0.90|0.10|10.04|0.40|0.92|0.10|10.16|0.41|0.90|0.10|10.03|0.40|2|
1873986|4614|80|3.039|0.007|0.37|0.15|1.35|0.07|5.83|0.11|1.24|0.06|5.59|0.10|1.35|0.07|5.83|0.11|1|
1995358|4824|80|2.284|0.013|-0.27|0.15|0.97|0.10|11.78|0.45|0.90|0.09|11.32|0.43|0.97|0.10|11.77|0.45|2|
1995522|4769|166|2.350|0.014|-0.30|0.30|0.81|0.11|9.99|0.59|0.74|0.10|9.53|0.55|0.81|0.11|9.99|0.59|2|
1995668|4908|139|3.264|0.008|-0.32|0.30|1.45|0.09|4.65|0.10|1.34|0.08|4.47|0.10|1.47|0.09|4.69|0.10|1|
1995859|4899|80|2.576|0.008|-0.09|0.15|1.65|0.12|10.97|0.33|1.56|0.11|10.64|0.32|1.69|0.12|11.08|0.33|2|
1996078|4796|80|2.825|0.007|-0.04|0.15|1.33|0.07|7.39|0.14|1.23|0.07|7.12|0.14|1.35|0.07|7.43|0.15|1|
1996415|4764|80|3.005|0.007|0.20|0.15|1.23|0.06|5.78|0.11|1.17|0.06|5.63|0.11|1.24|0.06|5.80|0.11|1|
1996818|4888|151|2.392|0.010|-0.88|0.30|0.98|0.13|10.44|0.62|0.86|0.11|9.76|0.57|0.96|0.12|10.35|0.62|2|
2010137|4114|80|1.663|0.016|0.30|0.15|1.18|0.16|26.56|1.46|1.01|0.14|24.56|1.32|1.16|0.16|26.29|1.44|1|
2010138|4997|160|2.540|0.009|-0.83|0.30|1.30|0.09|10.13|0.24|1.18|0.08|9.68|0.23|1.32|0.09|10.22|0.25|1|
2010366|4991|155|2.376|0.016|-1.09|0.30|0.94|0.12|10.44|0.53|0.85|0.11|9.94|0.50|0.97|0.13|10.56|0.53|2|
2010702|5139|165|2.392|0.012|-0.58|0.30|0.95|0.19|10.29|0.97|0.95|0.19|10.30|0.98|0.96|0.19|10.35|0.98|2|
2010855|5148|173|2.473|0.010|0.01|0.30|1.60|0.17|12.16|0.58|1.62|0.18|12.25|0.59|1.62|0.18|12.24|0.59|2|
2011048|4776|153|2.751|0.009|0.42|0.30|1.45|0.10|8.41|0.20|1.39|0.09|8.21|0.20|1.45|0.10|8.40|0.20|1|
