ID,Teff,Teff_err,dnu,dnu_err,numax,numax_err,bp_rp,eps,eps_err,eps_mod
9957219,4892.0,100.0,4.255,0.044,35.86,0.44,1.2356719999999999,0.9697426712186584,0.0171064136341588,0.9697426712186584
9958567,5027.0,100.0,3.341,0.083,25.64,0.57,1.2165108,0.5125123981752755,0.02691789883282353,0.5125123981752755
9966823,4773.0,100.0,4.04,0.036000000000000004,32.7,0.63,1.3533897,0.9576677528716678,0.01897557298721485,0.9576677528716678
9967174,5047.0,100.0,5.247999999999998,0.019,54.59,0.71,1.2038488,0.7347834239015308,0.023464449630079383,0.7347834239015308
9967351,4826.0,100.0,5.711,0.017,60.79,0.78,1.2547035,1.062535716385454,0.013799632832795805,1.062535716385454
9967700,5180.0,100.0,9.649,0.018000000000000002,108.05,0.64,1.1502628000000001,1.1412356887908506,0.009396052331816195,1.1412356887908506
9968040,5088.0,100.0,4.984,0.012,43.96,0.3,1.2829628,1.0408771726295971,0.010383183876608984,1.0408771726295971
9968249,5011.0,100.0,7.81,0.017,91.05,0.98,1.2634678,1.110457628147567,0.008884385096648274,1.110457628147567
9970467,4598.0,100.0,4.677,0.013,45.59,0.41,1.399456,1.03660192478596,0.011869371966397006,1.03660192478596
9970830,5057.0,100.0,4.99,0.032,51.74,1.04,1.3036146,1.0380526165044908,0.03149488881983552,1.0380526165044908
10002647,5042.0,100.0,4.277,0.028,37.21,0.62,1.1865616,0.7489515873690206,0.01823641150887681,0.7489515873690206
10003419,4902.0,100.0,4.114,0.026,36.15,0.74,1.2695112,0.923083445122436,0.01468822880793391,0.923083445122436
10005422,5095.0,100.0,3.867,0.07200000000000001,27.01,0.58,1.1942005,0.5990817320710871,0.0317977558850299,0.5990817320710871
10005966,4839.0,100.0,3.826,0.026,30.71,0.66,1.3592815,0.6395802309747376,0.025070828675408455,0.6395802309747376
10006852,5129.0,100.0,6.768,0.026,78.98,0.77,1.1150799,1.0613517033000657,0.01094300113707266,1.0613517033000657
10018239,4724.0,100.0,3.928,0.024,32.52,0.71,1.3689775,0.653323244840484,0.0299084539044719,0.653323244840484
10018973,4692.0,100.0,3.984,0.047,31.95,0.96,1.3642645,0.6667309919425104,0.017985139125137974,0.6667309919425104
10023439,4691.0,100.0,6.436,0.017,65.28,0.52,1.3318843999999999,1.0898028145768204,0.010155956745095559,1.0898028145768204
10025321,5026.0,100.0,10.438,0.012,129.66,1.17,1.2292584999999998,1.1799021616338394,0.00861935302434925,1.1799021616338394
10025387,5003.0,100.0,11.434,0.015,140.06,1.0,1.263608,1.1889893463412635,0.005984779727130057,1.1889893463412635
10065848,4933.0,100.0,3.903,0.094,30.16,0.61,1.1963491000000002,0.6530875677429738,0.02797053363795448,0.6530875677429738
10066568,5216.0,100.0,3.786,0.254,27.73,0.55,1.0940504,0.9004580498291924,0.016172112634309708,0.9004580498291924
10068810,4882.0,100.0,5.34,0.012,48.87,0.44,1.2672272,1.0693489226207602,0.008117609292500988,1.0693489226207602
