KICID|kepmag|Length_Quarters|Length_days|numax|numax_err|dnu|dnu_err|amplitude|amplitude_err|fwhm|fwhm_err|maxbg|maxbg_err|
   2709625|   13.73| 17|  1308.6|   36.63|    0.73|   4.273|   0.031|  100.4|    4.6|   14.7|    1.2|   2796.8|    189.1|
   2709877|   12.85| 17|  1235.7|    8.10|    0.23|   1.542|   0.070|  316.8|   28.8|    4.2|    1.2| 138003.6|  11544.6|
   2710002|   13.68| 15|  1136.5|    5.35|    0.37|   0.979|   0.015|  680.4|   76.5|    2.4|    0.5| 586591.9|  72703.6|
   2710171|   13.87|  5|   371.3|   31.77|    0.65|   3.868|   0.086|  117.4|    5.9|   14.0|    1.8|   3790.0|    548.8|
   2710194|   12.15| 16|  1221.2|   59.05|    0.55|   5.991|   0.012|   95.1|    4.9|   17.4|    1.1|   1168.2|     64.5|
   2710472|   11.59|  9|   642.1|   45.77|    0.46|   4.659|   0.011|   79.9|    3.4|   16.4|    1.1|   1189.2|     79.9|
   2711035|   13.65|  7|   548.1|   50.65|    0.45|   5.368|   0.017|   74.6|    3.7|   16.2|    1.2|   1215.8|    113.8|
   2711123|   12.53| 17|  1308.6|   38.99|    0.70|   4.056|   0.014|   52.9|    2.8|   14.2|    1.5|   1000.6|     74.3|
   2711432|   10.23| 18|  1318.0|    9.62|    0.70|   1.537|   0.036|  219.4|   21.3|    5.6|    1.8|  69407.1|   7519.3|
   2711477|   12.23|  9|   642.1|   14.14|    0.82|   2.158|   0.031|  183.0|   13.1|    5.9|    0.8|  23469.4|   2425.1|
   2712313|   13.67|  7|   548.1|   58.69|    0.78|   5.874|   0.014|   72.5|    3.5|   24.0|    1.7|    675.6|    128.7|
   2712534|   13.49|  7|   467.3|   28.87|    0.71|   4.119|   0.296|  134.7|    6.0|   12.2|    2.1|   6588.7|    646.5|
   2712761|   13.08|  9|   642.1|   58.81|    0.43|   5.984|   0.013|   94.6|    4.4|   17.3|    0.8|   1036.3|     95.3|
   2713172|   13.73| 15|  1211.9|   32.13|    0.76|   4.096|   0.124|  117.5|    7.8|   13.4|    1.4|   5328.2|    447.4|
   2713278|   13.96| 15|  1211.9|   50.80|    0.84|   5.203|   0.012|   87.2|    5.0|   17.9|    1.3|   1455.9|    181.0|
   2713305|   12.27| 18|  1318.1|   56.49|    0.62|   5.589|   0.011|   87.6|    3.9|   18.9|    1.0|   1140.5|     83.8|
   2713345|   13.87| 17|  1308.7|   28.14|    0.92|   4.027|   0.191|   83.6|    6.0|   12.2|    4.7|   4473.9|    468.9|
   2713391|   13.63| 17|  1308.7|   35.48|    0.67|   4.217|   0.031|  119.8|    5.7|   13.1|    1.3|   4394.3|    344.9|
   2713674|   13.94| 17|  1308.7|   42.87|    0.43|   4.827|   0.012|   82.7|    4.8|   13.9|    1.0|   1550.1|    117.3|
   2713894|   12.12| 18|  1318.1|   36.04|    0.76|   4.055|   0.033|   78.9|    3.9|   13.8|    1.2|   2446.1|    150.7|
   2714090|   12.34| 18|  1318.1|   52.70|    0.66|   5.095|   0.015|   65.9|    2.7|   19.7|    1.3|    907.6|     50.7|
   2714108|   12.73|  9|   642.1|   38.56|    0.68|   4.270|   0.061|   92.0|    4.4|   13.9|    0.9|   2218.5|    228.1|
   2714397|   10.51| 18|  1318.1|   33.08|    0.64|   4.181|   0.028|  116.3|    4.9|   13.2|    1.2|   3478.4|    210.9|
   2714470|   12.24|  7|   467.3|   28.36|    0.70|   3.411|   0.023|  129.6|    7.8|   11.3|    1.8|   4760.3|    865.0|
   2714785|   12.29| 18|  1318.2|  116.05|    0.70|  10.413|   0.013|   63.7|    2.5|   33.4|    1.2|    145.0|     22.4|
   2715523|   11.87|  2|    41.9|   52.15|    2.90|   5.761|   0.901|   62.5|   13.6|   22.8|    7.7|   1240.2|    355.4|
   2715920|   13.22|  6|   380.8|   25.85|    0.91|   3.490|   0.056|  146.4|    7.2|   11.7|    3.5|   4722.5|   1032.4|
   2715975|   13.82| 15|  1211.9|  102.29|    0.76|   9.301|   0.019|   57.3|    2.0|   30.4|    1.4|     99.9|     18.6|
   2716376|   12.62|  7|   467.3|   38.16|    0.58|   4.267|   0.014|  111.2|    4.9|   15.0|    2.1|   3120.9|    253.1|
   2716608|   10.53| 18|  1318.2|   67.73|    0.86|   5.780|   0.082|   34.0|    1.4|   26.1|    1.9|    302.0|     21.7|
   2717201|   14.00| 17|  1308.7|   70.06|    0.69|   6.687|   0.025|   66.0|    3.0|   27.0|    4.1|    250.9|     70.7|
   2717478|   13.45|  6|   380.8|   34.51|    0.72|   4.049|   0.056|  121.0|    6.0|   14.3|    2.0|   2882.7|    388.2|
   2718241|   13.89| 15|  1211.9|  130.99|    1.31|  10.696|   0.018|   34.4|    2.6|   37.0|    5.4|     79.4|     22.1|
   2719113|   12.03| 18|  1318.2|   32.60|    0.94|   3.981|   0.033|  106.2|    5.2|   15.2|    2.1|   4467.8|    381.8|
   2719382|   13.53| 17|  1308.7|   33.47|    0.71|   4.141|   0.025|  133.0|    6.0|   12.9|    1.3|   6710.9|    411.1|
   2719466|   13.82|  7|   548.2|   10.57|    0.35|   1.610|   0.025|  170.9|   24.6|    2.8|    0.6|  77837.7|   8407.0|
   2719701|   13.73| 15|  1211.9|  141.56|    1.01|  11.915|   0.025|   48.1|    3.4|   37.2|    2.7|     94.4|     41.1|
   2719795|   11.07| 15|  1200.6|   53.54|    0.52|   5.486|   0.011|   88.9|    4.6|   16.8|    0.8|   1242.6|     64.4|
   2720096|   13.05| 16|  1221.4|  110.00|    1.27|   9.091|   0.017|   32.9|    2.0|   37.1|    8.6|    171.9|     18.5|
   2720444|   11.77|  9|   642.1|   31.87|    1.45|   4.018|   0.089|   81.3|    8.3|   13.4|    2.1|   4856.9|    689.7|
   2720447|   13.15|  7|   467.3|   28.21|    1.27|   3.887|   0.095|  135.2|    6.5|   14.4|    2.1|   5365.7|    559.8|
   2720777|   13.12| 18|  1318.2|  133.49|    3.23|  10.502|   0.018|   29.5|    2.3|   56.3|    8.9|     51.1|     11.8|
