ID,numax,dnu,teff,bp_rp,eps_p,d02,alpha_p,env_height,env_width,mode_width,H1_nu,H1_exp,H_power,H2_nu,H2_exp,p_L,p_D,eps_g,alpha_g,d01,u1,u2,DPi1
KIC7835198,1.49253164487752,0.569030200625841,3.6953065224318,1.41110134124756,0.905987408875428,-0.260031171126108,-1.59565372552116,0.451906183852035,0.744064606627743,-0.996681723041695,1.51043515862274,3.932988399353,5.27116523529705,1.01181230333273,3.52331978530946,,,,,,,,301.999999999999
KIC7835220,1.5112519035112,0.618092382481233,3.70320537069549,1.28963947296143,0.920178248211873,-0.171711350820514,-1.6811281232499,0.469874715794251,0.770387845198544,-0.910826321181843,1.5305580879214,3.99750262214137,5.15124400496437,1.01394193399015,3.79380413925952,,,,,,,,305.499999999997
KIC7835989,1.56290250974152,0.625249656699216,3.68904233902817,1.37245559692383,0.903263001725727,-0.219263620416932,-1.71284743109528,0.562840669309887,0.801767887477148,-0.921342799532981,1.60687676044514,4.20361335387538,5.26462350051945,1.06458565743713,3.9710555284799,,,,,,,,293.399999999997
KIC7836711,1.94316118619765,0.931713560028061,3.67769818147451,1.35079860687256,1.17210515571242,0.0599045099300659,-1.99867988868911,1.23501309054657,1.01343854700938,-0.921265867136084,1.9347096098855,4.30454515813495,4.76004095651472,1.39182393342138,4.07250520846714,,,,,,,,74.9000000000005
KIC7837223,2.00834684587909,0.971216887374094,3.69836156605511,1.41807079315186,1.20073589500172,0.103938159000092,-2.40683501135471,1.11516568885806,1.01521953358863,-0.848757899409442,1.99095592983766,4.2978976129512,4.66573457030543,1.42152078708776,3.64102312449123,,,,,,,,75.6999999999995
KIC7837429,1.48046413613273,0.609108829651323,3.7044936970093,1.37543964385986,0.966325808606506,-0.144744978572561,-1.8028588673538,0.432133715471053,0.793400997783686,-0.866381317911823,1.51589212380682,4.20562671712397,5.26391896962629,0.995182278724222,4.34615836112076,,,,,,,,325.199999999999
KIC7837954,2.03282561003516,0.928388517802456,3.69879625179043,1.16869831085205,1.12159841889143,0.009352803517797,-2.15621945348758,0.866762265035951,1.20907002414649,-0.73311923471251,1.99778669721212,2.33531043374435,4.50463831244151,1.45804171202292,2.42382728556804,,,,,,,,
KIC7838475,1.99785326566372,0.930148872050869,3.69940408181534,1.32112312316895,1.16105469523066,0.01751838217572,-2.11393197665739,1.13392336704166,1.07161528305184,-0.881382773695624,1.99857801581144,4.87252143687551,4.48128138695889,1.4247318019254,4.25992691918306,,,,,,,,
KIC7838873,1.84488923629582,0.785736120596463,3.69600671521855,1.28675270080566,1.00372546671012,-0.127308491152058,-1.93996899771508,0.622537283620291,1.08406841058545,-0.716841173204878,1.86447636999466,3.756839405324,4.67763390351438,1.31164698802597,3.41312116306052,,,,,,,,290.9
KIC7839372,1.62089732533626,0.6342072131504,3.69187682255933,1.35841751098633,0.912261125365854,-0.212228489263743,-1.90344103230708,0.606544700108357,0.850637340253682,-0.918985006450903,1.49510467960198,2.87281000905353,4.97662143879593,1.10335501044584,4.56260036476089,,,,,,,,
