# dnu numax eps d02 alpha env_height env_width mode_width teff bp_rp logL logPrior
1.230086092706021983e+00 2.343315681838535891e+00 1.353244820228409306e+00 3.442763631208052844e-01 -2.378597483149547998e+00 1.408851653802017934e+00 1.316628376712566606e+00 -7.773076534275875638e-01 3.694734497713449528e+00 1.240614952510129765e+00 -1.724927127062649106e+03 -5.453326997173125079e+00
1.230583019215045759e+00 2.353061027369456326e+00 1.334539403876315644e+00 3.403790637069632474e-01 -2.244264395257859146e+00 1.290691805213556975e+00 1.354687341745451912e+00 -6.667461825892889715e-01 3.699496672185978774e+00 1.231103298468492202e+00 -1.724902644245097690e+03 -5.360588376788676612e+00
1.230056966736349677e+00 2.347911961783785806e+00 1.354868721873812909e+00 3.475394096063300631e-01 -2.462436910383699384e+00 1.302107489635555337e+00 1.331429282276533232e+00 -7.017124525171759553e-01 3.696626204979386543e+00 1.245787015117435503e+00 -1.724850962240062472e+03 -5.965235493492032859e+00
1.230129599981006461e+00 2.352782783759949314e+00 1.349214195510258119e+00 3.568243821805801574e-01 -2.187711146593574352e+00 1.275075939457141816e+00 1.348396616027095707e+00 -6.999984425219186734e-01 3.697024377656021432e+00 1.195844633194683260e+00 -1.724803607694730999e+03 -6.526219103790045217e+00
1.230767486035935887e+00 2.342663315705403093e+00 1.332415418442561394e+00 3.463743095756575685e-01 -2.251196556160619089e+00 1.312582311240122035e+00 1.343705517304580432e+00 -6.923097245003164701e-01 3.696798942023541201e+00 1.225663887522526974e+00 -1.724765757075628471e+03 -5.813732914110291361e+00
1.230250480115152811e+00 2.352471964479549982e+00 1.348678466680999666e+00 3.504475661650794938e-01 -2.244979232514777934e+00 1.191450057508210314e+00 1.373201483485646746e+00 -6.488724752120025308e-01 3.695776284150951163e+00 1.132029125656181856e+00 -1.724713770918530145e+03 -6.277724410950560774e+00
1.230430778770339906e+00 2.342239935338868317e+00 1.341581533520498359e+00 3.498182934774718422e-01 -2.310900127324702069e+00 1.281657830848202728e+00 1.341933292242164732e+00 -7.001170761163387768e-01 3.695334985307751730e+00 1.251996294666551712e+00 -1.724676356510897904e+03 -6.268217261041640676e+00
1.229931966697619172e+00 2.347053235698144835e+00 1.357418772359751058e+00 3.461465276354249165e-01 -2.274513057976082830e+00 1.271147320864484564e+00 1.329628901904842175e+00 -7.034596492168195825e-01 3.698645735021230507e+00 1.221940115349311018e+00 -1.724654905873004509e+03 -4.493229704504629218e+00
1.230068522026536604e+00 2.352224413287828497e+00 1.352490075062531938e+00 3.429880968224490179e-01 -2.408147880488188619e+00 1.360574111645167950e+00 1.344615111909972738e+00 -7.124650011726404442e-01 3.696441499425639599e+00 1.187861366412962250e+00 -1.724610210430620327e+03 -5.338832827040934426e+00
1.230362848608339110e+00 2.350484950244728033e+00 1.345363438935973210e+00 3.411455995079350489e-01 -2.146425387391492023e+00 1.351368193155424224e+00 1.364354315351493208e+00 -6.873877547904223562e-01 3.701339056920252002e+00 1.184053149938369298e+00 -1.724594970971563953e+03 -4.803688994068415319e+00
