# dnu numax eps d02 alpha env_height env_width mode_width teff bp_rp logL logPrior
1.211192655214542224e+00 2.348067800782811965e+00 1.376284000566091237e+00 3.015848686681808499e-01 -2.844500047636688844e+00 1.031081924727293542e+00 1.229111934853207133e+00 -9.048434699605951703e-01 3.706471087023814892e+00 1.243055123250500715e+00 -1.951347450305268922e+03 -6.282754168902447311e+00
1.226539847333594446e+00 2.341835654107158771e+00 1.373538390637679463e+00 3.371888438170017044e-01 -2.307677626649537128e+00 5.426570702458781703e-01 1.323389323030980558e+00 -7.910558140221927159e-01 3.705209668600764061e+00 1.286122090853383915e+00 -1.951320693990506243e+03 -4.755946791170530652e+00
1.203005457921533683e+00 2.353531837660975512e+00 1.345093614110795643e+00 2.685875019551590692e-01 -2.984857140238581952e+00 6.844133774023124506e-01 1.186508222008788804e+00 -9.092315201653852208e-01 3.704411042515528329e+00 1.231767229347812131e+00 -1.951320454093401395e+03 -1.262417734859555729e+01
1.212019919003807011e+00 2.346611879539551193e+00 1.366706457161189547e+00 2.917154062910840007e-01 -2.484391805366764405e+00 1.698972574911386813e-01 1.289348524584683409e+00 -7.528231703842092060e-01 3.709433839392161314e+00 1.228943815224149860e+00 -1.951076703611691073e+03 -2.888679822093248362e+00
1.200118630029959998e+00 2.345325202740973225e+00 1.337424301245698333e+00 2.689536847917053386e-01 -2.697891915294257092e+00 3.731531312201925576e-01 1.218320011799272962e+00 -8.675122584142781479e-01 3.701096615440977455e+00 1.321036104658976473e+00 -1.950964994607255221e+03 -6.542048413500354265e+00
1.210821844007724080e+00 2.344352908936990332e+00 1.381599260787171879e+00 2.856615513777508997e-01 -2.362719062780505475e+00 8.008115600371170650e-01 1.359803615982526859e+00 -8.064197679605352720e-01 3.699396365591966163e+00 1.176244453661684730e+00 -1.950896398090361117e+03 -3.799744499549066123e+00
1.222888609348645073e+00 2.343776240992630377e+00 1.360271854198795261e+00 3.094179356397815939e-01 -2.421966086719056221e+00 4.934480917204857042e-01 1.348573089996090379e+00 -7.597698927837125416e-01 3.702768757162071100e+00 1.294982726486335389e+00 -1.950814449519318941e+03 -4.315862292754615304e+00
1.241739605665529877e+00 2.355355514441777931e+00 1.379891367897546406e+00 3.373452145642084066e-01 -2.675597692412452933e+00 6.976358837577713023e-01 1.284814494493088155e+00 -7.399751984001198268e-01 3.706638377910758120e+00 1.223500816476456254e+00 -1.950307498864243371e+03 -6.301722282723058122e+00
1.227035166048272119e+00 2.353634836798794261e+00 1.362950688237043018e+00 3.191769569102772541e-01 -2.149394051303692432e+00 6.093818527634049520e-01 1.340959776874185216e+00 -6.591597285521700877e-01 3.705903612200666331e+00 1.096384385560041697e+00 -1.949907931112110873e+03 -3.397839375160570441e+00
1.224536542516033499e+00 2.344010521916329193e+00 1.320660764401182519e+00 3.500959232080093630e-01 -2.473989038556049014e+00 4.535331189319228296e-01 1.293697042982938861e+00 -7.343659478746086267e-01 3.704635963938316845e+00 1.199289962022715761e+00 -1.949836853033552870e+03 -5.046064379684207957e+00
1.203044305968244299e+00 2.342771386225117158e+00 1.357996739358600768e+00 2.797516416268630568e-01 -2.475517920056409693e+00 7.351603271368405412e-01 1.322677603891447395e+00 -7.611849977495660502e-01 3.702533654932683493e+00 1.274848008575489189e+00 -1.949820228920807267e+03 -2.192032047861086852e+00
1.211935747621718518e+00 2.350300048879603754e+00 1.351943649823285520e+00 2.667278793446735685e-01 -2.509591044844984964e+00 3.514654517951792401e-01 1.277591116620816036e+00 -6.851355332648439989e-01 3.707589975082134615e+00 1.216437717651141170e+00 -1.949788304992417125e+03 -6.656073658820750971e+00
1.204043097783518146e+00 2.344967838208412036e+00 1.330730464341079333e+00 2.745057457962752356e-01 -2.348978883307522025e+00 6.550397302880874850e-01 1.331080980168590999e+00 -7.492177466940936892e-01 3.698309363249491888e+00 1.189598152937431985e+00 -1.949466445499011343e+03 -4.212438741426636213e+00
1.225261482402446367e+00 2.341823609443748566e+00 1.334282208947674908e+00 3.446569453226828728e-01 -2.225548718965451922e+00 6.671766160050887073e-01 1.309389814407783792e+00 -7.247676453422017273e-01 3.699210382858774793e+00 1.249329725879033015e+00 -1.949436325006432526e+03 -2.763652473721882163e+00
1.209323184450158628e+00 2.348883864834677038e+00 1.359567188573298724e+00 2.836843184538804796e-01 -2.477153503337155005e+00 7.235047446137756744e-01 1.317768962042168202e+00 -7.300211412700416957e-01 3.705702201192426770e+00 1.187591493721542601e+00 -1.949388098533740504e+03 -1.417032922762788250e+00
1.228900436938982654e+00 2.352372097741793233e+00 1.334440708272146114e+00 3.277043484303737153e-01 -2.709346343847735650e+00 8.373172182809562880e-01 1.228870137468355939e+00 -6.890281795926691544e-01 3.699757738577564847e+00 1.316599004571143094e+00 -1.949016608015127531e+03 -9.108769611899992569e+00
