ID,error_flag
KIC3555292,-1
KIC3555594,-1
KIC3556560,-1
KIC3556684,-1
KIC3556801,-1
KIC3557196,-1
KIC3557601,-1
KIC3557606,-1
KIC3558144,-1
KIC3558468,-1
KIC3558705,-1
KIC3558803,-1
KIC3558825,-1
KIC3558846,-1
KIC3558848,-1
KIC3559123,-1
KIC3559502,-1
KIC3559812,-1
KIC3559893,-1
KIC3560093,-1
KIC3560181,-1
KIC3560289,-1
KIC3561194,-1
KIC3561320,-1
KIC3561533,-1
KIC3561883,-1
KIC3626141,-1
KIC3626776,-1
KIC3627742,-1
KIC3628943,-1
KIC3629335,-1
KIC3629684,-1
KIC3630240,-1
KIC3631092,-1
KIC3631402,-1
KIC3631485,-1
KIC3631621,-1
KIC3631709,-1
KIC3631817,-1
KIC3631821,-1
KIC3632361,-1
KIC3632549,-1
KIC3632803,-1
KIC3633057,-1
KIC3633152,-1
KIC3633279,-1
KIC3633751,-1
KIC3634224,-1
KIC3634488,-1
KIC3634542,-1
KIC3634578,-1
KIC3634720,-1
KIC3640486,-1
KIC3640714,-1
KIC3640776,-1
KIC3641504,-1
KIC3641677,-1
KIC3642038,-1
KIC3642101,-1
KIC3642135,-1
KIC3642483,-1
KIC3642837,-1
KIC3642873,-1
KIC3643387,-1
KIC3643725,-1
KIC3644159,-1
KIC3644223,-1
KIC3644958,-1
KIC3645006,-1
KIC3645210,-1
KIC3645232,-1
KIC3645345,-1
KIC3645589,-1
KIC3645811,-1
KIC3646127,-1
KIC3646628,-1
KIC3646645,-1
KIC3646814,-1
KIC3646855,-1
KIC3646933,-1
KIC3647215,-1
KIC3647291,-1
KIC3647864,-1
KIC3647918,-1
KIC3648150,-1
KIC3648327,-1
KIC3648674,-1
KIC3648906,-1
KIC3648943,-1
KIC3648982,-1
KIC3649200,-1
KIC3649449,-1
KIC3649673,-1
KIC3651360,-1
KIC3653993,-1
KIC3654043,-1
KIC3654420,-1
KIC3654437,-1
KIC3654753,-1
KIC3654861,-1
KIC3654897,-1
KIC3656231,-1
KIC3656240,-1
KIC3657670,-1
KIC3658136,-1
KIC3658657,-1
KIC3658812,-1
KIC3658900,-1
KIC3659407,-1
KIC3660007,-1
KIC3660182,-1
KIC3660245,-1
KIC3660374,-1
KIC3660498,-1
KIC3660554,-1
KIC3660866,-1
KIC3660976,-1
KIC3661266,-1
KIC3661458,-1
KIC3661494,-1
KIC3661507,-1
KIC3661671,-1
KIC3661719,-1
KIC3661951,-1
KIC3662064,-1
KIC3662120,-1
KIC3662421,-1
KIC3662494,-1
KIC3662960,-1
KIC3663039,-1
KIC3663047,-1
KIC3663200,-1
KIC3663296,-1
KIC3663360,-1
KIC3663850,-1
KIC3727412,-1
KIC3728553,-1
KIC3728689,-1
KIC3728936,-1
KIC3729611,-1
KIC3729799,-1
KIC3729833,-1
KIC3729848,-1
KIC3729864,-1
KIC3730125,-1
KIC3730689,-1
KIC3730854,-1
